name1,name2,distance
Aweil,Fangak,1394.43
Aweil,Fashada,1471.8
Aweil,Gambela,1731.84
Aweil,Gulu,1010.22
Aweil,Jewi,1755.56
Aweil,Juba,744.81
Aweil,Kakuma,1241.43
Aweil,Kapoeta,1003.01
Aweil,Khartoum,1141.78
Aweil,Kiryandongo,1123.62
Aweil,Kule,1746.86
Aweil,Lainya,824.01
Aweil,Lekr,872.71
Aweil,Lolimi,1060.75
Aweil,Magwi,866.17
Aweil,Malakal,1517.9
Aweil,Malut,1355.72
Aweil,Maridi,603.27
Aweil,Mayom,247.18
Aweil,Melut,1394.2
Aweil,Mongalla,1142.65
Aweil,Mundri,584.13
Aweil,Mvolo,479.05
Aweil,Nasir,1748.7
Aweil,Pariang,407.66
Aweil,Pibor,1142.12
Aweil,Pochalla,1841.01
Aweil,Pugnido,1832.08
Aweil,Renk,1203.3
Aweil,Rhino,1054.39
Aweil,Rubkona,331.84
Aweil,Rumbek,365.12
Aweil,Tambura,394.79
Aweil,Terakeka,685.3
Aweil,Tierkidi,1695.29
Aweil,Torit,868.46
Aweil,Wau,146.55
Aweil,West Kordofan,895.77
Aweil,Wunagak,1566.15
Aweil,Yei,779.83
Aweil,Yirol,470.4
Ayod,Bor,239.24
Ayod,Cueibet,871.07
Ayod,Duk_Fadiat,56.53
Ayod,Fangak,224.36
Ayod,Fashada,1816.15
Ayod,Gambela,1334.52
Ayod,Gulu,679.09
Ayod,Jewi,1373.85
Ayod,Juba,427.17
Ayod,Kakuma,839.22
Ayod,Kapoeta,627.19
Ayod,Khartoum,1973.73
Ayod,Kiryandongo,792.52
Ayod,Kule,1385.37
Ayod,Lainya,502.78
Ayod,Lekr,546.33
Ayod,Lolimi,684.93
Ayod,Magwi,535.01
Ayod,Malakal,1865.42
Ayod,Malut,1720.24
Ayod,Maridi,710.04
Ayod,Mayom,1194.46
Ayod,Melut,1750.33
Ayod,Mongalla,766.58
Ayod,Mundri,620.26
Ayod,Mvolo,712.91
Ayod,Nasir,1497.59
Ayod,Pariang,1231.39
Ayod,Pibor,330.61
Ayod,Pochalla,1344.54
Ayod,Pugnido,1335.62
Ayod,Renk,2033.45
Ayod,Rhino,723.28
Ayod,Rubkona,1114.2
Ayod,Rumbek,818.37
Ayod,Tambura,1286.22
Ayod,Terakeka,499.63
Ayod,Tierkidi,1372.63
Ayod,Torit,492.71
Ayod,Wau,1038.61
Ayod,West Kordofan,2058.93
Ayod,Wunagak,1910.11
Ayod,Yei,557.15
Ayod,Yirol,710.17
Bor,Cueibet,635.73
Bor,Duk_Fadiat,187.03
Bor,Fangak,432.81
Bor,Fashada,1581.44
Bor,Gambela,1101.37
Bor,Gulu,454.81
Bor,Jewi,1140.52
Bor,Juba,194.15
Bor,Kakuma,623.34
Bor,Kapoeta,399.21
Bor,Khartoum,1741.68
Bor,Kiryandongo,558.02
Bor,Kule,1151.49
Bor,Lainya,273.53
Bor,Lekr,318.86
Bor,Lolimi,456.77
Bor,Magwi,307.92
Bor,Malakal,1630.71
Bor,Malut,1485.54
Bor,Maridi,478.82
Bor,Mayom,960.61
Bor,Melut,1515.62
Bor,Mongalla,540.36
Bor,Mundri,387.88
Bor,Mvolo,484.47
Bor,Nasir,1262.9
Bor,Pariang,997.54
Bor,Pibor,196.85
Bor,Pochalla,1134.33
Bor,Pugnido,1125.91
Bor,Renk,1801.4
Bor,Rhino,501.52
Bor,Rubkona,880.35
Bor,Rumbek,582.98
Bor,Tambura,1051.4
Bor,Terakeka,267.36
Bor,Tierkidi,1138.8
Bor,Torit,262.97
Bor,Wau,803.07
Bor,West Kordofan,1826.87
Bor,Wunagak,1675.4
Bor,Yei,329.86
Bor,Yirol,479.08
Cueibet,Duk_Fadiat,854.13
Cueibet,Fangak,1092.14
Cueibet,Fashada,1582.87
Cueibet,Gambela,1845.38
Cueibet,Gulu,708.79
Cueibet,Jewi,1869.11
Cueibet,Juba,445.64
Cueibet,Kakuma,940.0
Cueibet,Kapoeta,709.36
Cueibet,Khartoum,1234.5
Cueibet,Kiryandongo,820.72
Cueibet,Kule,1860.41
Cueibet,Lainya,527.42
Cueibet,Lekr,579.95
Cueibet,Lolimi,766.92
Cueibet,Magwi,573.57
Cueibet,Malakal,1629.01
Cueibet,Malut,1468.12
Cueibet,Maridi,308.22
Cueibet,Mayom,448.67
Cueibet,Melut,1506.6
Cueibet,Mongalla,850.78
Cueibet,Mundri,289.42
Cueibet,Mvolo,172.35
Cueibet,Nasir,1862.22
Cueibet,Pariang,481.62
Cueibet,Pibor,853.76
Cueibet,Pochalla,1418.85
Cueibet,Pugnido,1409.12
Cueibet,Renk,1315.8
Cueibet,Rhino,751.49
Cueibet,Rubkona,364.71
Cueibet,Rumbek,56.39
Cueibet,Tambura,415.47
Cueibet,Terakeka,377.43
Cueibet,Tierkidi,1808.83
Cueibet,Torit,572.49
Cueibet,Wau,170.99
Cueibet,West Kordofan,1321.0
Cueibet,Wunagak,1677.24
Cueibet,Yei,486.82
Cueibet,Yirol,163.03
Duk_Fadiat,Fangak,251.01
Duk_Fadiat,Fashada,1762.85
Duk_Fadiat,Gambela,1282.78
Duk_Fadiat,Gulu,625.79
Duk_Fadiat,Jewi,1320.36
Duk_Fadiat,Juba,373.15
Duk_Fadiat,Kakuma,785.93
Duk_Fadiat,Kapoeta,580.99
Duk_Fadiat,Khartoum,1914.3
Duk_Fadiat,Kiryandongo,739.22
Duk_Fadiat,Kule,1333.02
Duk_Fadiat,Lainya,455.31
Duk_Fadiat,Lekr,493.04
Duk_Fadiat,Lolimi,638.55
Duk_Fadiat,Magwi,481.72
Duk_Fadiat,Malakal,1812.12
Duk_Fadiat,Malut,1666.95
Duk_Fadiat,Maridi,655.57
Duk_Fadiat,Mayom,1141.17
Duk_Fadiat,Melut,1697.03
Duk_Fadiat,Mongalla,722.41
Duk_Fadiat,Mundri,565.82
Duk_Fadiat,Mvolo,658.14
Duk_Fadiat,Nasir,1444.3
Duk_Fadiat,Pariang,1178.1
Duk_Fadiat,Pibor,298.05
Duk_Fadiat,Pochalla,1317.2
Duk_Fadiat,Pugnido,1308.77
Duk_Fadiat,Renk,1973.15
Duk_Fadiat,Rhino,669.99
Duk_Fadiat,Rubkona,1060.9
Duk_Fadiat,Rumbek,764.32
Duk_Fadiat,Tambura,1232.19
Duk_Fadiat,Terakeka,445.61
Duk_Fadiat,Tierkidi,1320.21
Duk_Fadiat,Torit,444.75
Duk_Fadiat,Wau,984.59
Duk_Fadiat,West Kordofan,1999.49
Duk_Fadiat,Wunagak,1856.81
Duk_Fadiat,Yei,503.86
Duk_Fadiat,Yirol,656.15
Fangak,Fashada,2008.94
Fangak,Gambela,1526.39
