name,region,country,latitude,longitude,location_type,conflict_date,population
London,London,GB,51.50837083467904,-0.13187578769508834,town,0,0
Birmingham,Birmingham,GB,52.498968318134516,-1.8030022360693643,town,0,0
Leeds,Leeds,GB,53.80255740968788,-1.5549735580737234,town,0,0
Oxford,Oxford,GB,51.755438293790576,-1.2837592131669566,town,0,0
Norwich,Norwich,GB,52.62165205528595,1.2766638929857241,town,0,0
